Reaction number, formula, rate constant
156, 1ClO-+1H2O2=>1Cl-+1O2+1H2O, 3.4
157, 1HClO+1HO2-=>1Cl-+1O2+1H2O, 44000.0
158, 1Cl2+1HO2-=>2Cl-+1O2+1H+, 110000.0
159, 1Cl+1H2O2=>1Cl-+1H++1HO2, 2000000.0
160, 1Cl+1HO2=>1Cl-+1H++1O2, 3100000.0
161, 1Cl+1OH-=>1ClOH-, 18000000.0
162, 1ClO2+1H2O2=>1ClO2-+1H++1HO2, 0.004
163, 1ClO2+1HO2-=>1ClO2-+1HO2, 130.0
164, 1ClO2+1HO2=>1ClO2-+1H++1O2, 1000.0
165, 1ClO2+1O2-=>1ClO2-+1O2, 3000000.0
166, 1ClO2-+1O2-=>1ClO-+1O-+1O2, 0.04
167, 1ClO+1ClO2=>1Cl2O3, 7400000.0
168, 1ClO+1ClO3=>1Cl2O4, 7400000.0
169, 1Cl2O2+1OH-=>1Cl-+1ClO3-+1H+, 10000000.0
170, 1Cl2O3+1H2O=>1HClO+1ClO3-+1H+, 10.0
171, 1ClOH-=>1Cl+1OH-, 23.0
172, 1Cl+1H2O=>1ClOH-+1H+, 180.0
173, 1Cl2-+1O3=>1ClO+1Cl-+1O2, 90000.0
174, 1AuCl2-+2Cl-+1OH=>1AuCl4--+1OH-, 2.6
175, 1AuCl4-+1H=>1AuCl4--+1H+, 5700000.0
176, 1AuCl4-+1eh-=>1AuCl4--, 5700000.0
177, 2AuCl4--=>1Au2Cl6--+2Cl-, 145000.0
178, 1AuCl2-+1eh-=>1Au+2Cl-, 8000000.0
179, 1AuCl2-+1H=>1Au+1H++2Cl-, 8000000.0
180, 1AuCl2-+1HO2-=>1Au+1HO2+2Cl-, 0.00189
181, 1AuCl2-+1H2=>1Au+1H++1H+2Cl-, 7.4e-06
182, 1AuCl2-+1O2-=>1Au+1O2+2Cl-, 0.00189
183, 1Au+1ClOH-+1Cl-=>1AuCl2-+1OH-, 1830.0
184, 1Au2Cl6--=>1AuCl2-+1AuCl4-, 100.0
185, 1AuCl4-+1Au+2Cl-=>1AuCl4--+1AuCl2-, 0.0
